"country","subject","resp","cat","condition","site"
"Brazil",839,0,0.5,"mind",2
"Brazil",851,0,-0.5,"body",2
"Brazil",851,0,0.5,"mind",2
"Brazil",864,0,-0.5,"body",2
"Brazil",864,3,0.5,"mind",2
"Brazil",873,0,-0.5,"body",2
"Brazil",873,3,0.5,"mind",2
"Brazil",878,1,-0.5,"body",2
"Brazil",878,1,0.5,"mind",2
"Brazil",904,0,-0.5,"body",2
"Brazil",904,1,0.5,"mind",2
"Brazil",913,0,-0.5,"body",2
"Brazil",913,3,0.5,"mind",2
"Brazil",914,0,-0.5,"body",2
"Brazil",914,1,0.5,"mind",2
"Brazil",915,0,-0.5,"body",2
"Brazil",915,3,0.5,"mind",2
"Brazil",927,0,-0.5,"body",2
"Brazil",927,0,0.5,"mind",2
"Brazil",930,1,-0.5,"body",2
"Brazil",930,3,0.5,"mind",2
"Brazil",935,0,-0.5,"body",2
"Brazil",935,0,0.5,"mind",2
"Brazil",941,3,-0.5,"body",2
"Brazil",941,3,0.5,"mind",2
"Brazil",942,0,-0.5,"body",2
"Brazil",942,0,0.5,"mind",2
"Brazil",946,0,-0.5,"body",2
"Brazil",946,3,0.5,"mind",2
"Brazil",950,1,-0.5,"body",2
"Brazil",950,2,0.5,"mind",2
"Brazil",951,0,-0.5,"body",2
"Brazil",951,3,0.5,"mind",2
"Brazil",960,1,-0.5,"body",2
"Brazil",960,2,0.5,"mind",2
"Brazil",965,0,-0.5,"body",2
"Brazil",965,0,0.5,"mind",2
"Brazil",967,0,-0.5,"body",2
"Brazil",967,3,0.5,"mind",2
"Brazil",970,1,-0.5,"body",2
"Brazil",970,3,0.5,"mind",2
"Brazil",984,1,-0.5,"body",2
"Brazil",984,3,0.5,"mind",2
"Brazil",986,1,-0.5,"body",2
"Brazil",986,2,0.5,"mind",2
"Brazil",989,0,-0.5,"body",2
"Brazil",989,1,0.5,"mind",2
"Brazil",1001,0,-0.5,"body",2
"Brazil",1001,0,0.5,"mind",2
"Brazil",1019,0,-0.5,"body",2
"Brazil",1019,0,0.5,"mind",2
"Brazil",1021,2,-0.5,"body",2
"Brazil",1021,2,0.5,"mind",2
"Brazil",1023,1,-0.5,"body",2
"Brazil",1023,3,0.5,"mind",2
"Brazil",1033,0,-0.5,"body",2
"Brazil",1033,0,0.5,"mind",2
"Brazil",1039,1,-0.5,"body",2
"Brazil",1039,3,0.5,"mind",2
"Brazil",1045,0,-0.5,"body",2
"Brazil",1045,2,0.5,"mind",2
"Brazil",1061,0,-0.5,"body",2
"Brazil",1061,0,0.5,"mind",2
"Brazil",1063,2,-0.5,"body",2
"Brazil",1063,2,0.5,"mind",2
"Brazil",1067,0,-0.5,"body",2
"Brazil",1067,0,0.5,"mind",2
"Brazil",1070,0,-0.5,"body",2
"Brazil",1070,0,0.5,"mind",2
"Brazil",1078,1,-0.5,"body",2
"Brazil",1078,3,0.5,"mind",2
"Brazil",1079,0,-0.5,"body",2
"Brazil",1079,1,0.5,"mind",2
"Brazil",1080,0,-0.5,"body",2
"Brazil",1080,1,0.5,"mind",2
"Brazil",1081,1,-0.5,"body",2
"Brazil",1081,2,0.5,"mind",2
"Brazil",1084,1,-0.5,"body",2
"Brazil",1084,3,0.5,"mind",2
"Brazil",1089,0,-0.5,"body",2
"Brazil",1089,0,0.5,"mind",2
"Brazil",1091,1,-0.5,"body",2
"Brazil",1091,2,0.5,"mind",2
"Brazil",1097,1,-0.5,"body",2
"Brazil",1097,2,0.5,"mind",2
"Brazil",1099,1,-0.5,"body",2
"Brazil",1099,2,0.5,"mind",2
"Brazil",1103,0,-0.5,"body",2
"Brazil",1103,2,0.5,"mind",2
"Brazil",1111,1,-0.5,"body",2
"Brazil",1111,3,0.5,"mind",2
"Brazil",1114,0,-0.5,"body",2
"Brazil",1114,0,0.5,"mind",2
"Brazil",1131,2,-0.5,"body",2
"Brazil",1131,3,0.5,"mind",2
"Brazil",1152,1,-0.5,"body",2
"Brazil",1152,3,0.5,"mind",2
"Brazil",1158,1,-0.5,"body",2
"Brazil",1158,3,0.5,"mind",2
"Brazil",1180,2,-0.5,"body",2
"Brazil",1180,2,0.5,"mind",2
"China",1848,0,-0.5,"body",3
"China",1848,2,0.5,"mind",3
"China",1852,0,-0.5,"body",3
"China",1852,2,0.5,"mind",3
"China",1857,1,-0.5,"body",3
"China",1857,3,0.5,"mind",3
"China",1863,1,-0.5,"body",3
"China",1863,3,0.5,"mind",3
"China",1875,1,-0.5,"body",3
"China",1875,2,0.5,"mind",3
"China",1876,2,-0.5,"body",3
"China",1876,3,0.5,"mind",3
"China",1877,0,-0.5,"body",3
"China",1877,0,0.5,"mind",3
"China",1885,0,-0.5,"body",3
