"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.401911,1.104844,0.4544818,0.4178356,-0.4511862,-1.401911,0.4678162,-0.7086654,0.1042438,0.01320114,-0.1286507,-1.455873,-0.09432032,-0.9733096,-0.04898249,0.05322221,-0.6866119,-0.1043634,0.322732,0.1932985,0.2001583,-0.2137146,-1.127464,-0.4852203,-0.3644557,-0.7666527
-0.920844,1.561718,0.7489537,0.7343716,0.2662347,-0.920844,1.013762,-0.1143009,0.6657198,0.5719216,0.4465931,-0.8006022,0.453282,-0.3682245,0.4958878,0.5967601,-0.0285299599999999,0.7002024,1.069547,0.9192843,0.9283216,0.7255255,-0.4323813,0.3228489,0.3328225,-0.0815224299999999
-1.2837025,1.21758,0.51430275,0.4834775,-0.298191,-1.2837025,0.5890685,-0.56371925,0.23076225,0.14248625,0.0042653375,-1.2946675,0.03439925,-0.828709,0.074713225,0.17785475,-0.5304345,0.08040495,0.49485875,0.360174,0.361933,0.001548705,-0.9547385,-0.29254025,-0.19509275,-0.60739025
-1.03343,1.458415,0.66846675,0.647599,0.0978415,-1.03343,0.8729985,-0.251915,0.5251155,0.43327625,0.3055625,-0.95091175,0.31806825,-0.51484075,0.361014,0.462273,-0.18162975,0.49720025,0.88431825,0.73916575,0.7474105,0.48829075,-0.5875685,0.13131525,0.15916375,-0.24669825
