"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.248983,1.307024,0.1847646,0.5137452,-0.4393373,-1.248983,-0.1289623,-0.1539377,0.07185811,0.06636387,-0.1889666,-0.1517878,-0.5228314,-0.5118054,-0.3252467,-0.09940827,0.321448,0.3707561,-1.46341,0.244697,-0.2409979,-0.8282546,0.1094557,-0.6634317,-0.6194181,0.3039217
-0.981247,1.828683,0.4393902,0.829998,0.3586431,-0.981247,0.2669743,0.2425107,0.4403185,0.4655794,0.1937636,0.2196735,-0.08763428,-0.1081489,0.0552825000000001,0.2985791,1.136569,1.192371,-0.7288336,1.040724,0.5331941,-0.0785002,0.953396,0.1366789,0.1535927,1.112289
-1.180915,1.43456,0.22825475,0.580221,-0.2625675,-1.180915,-0.03665415,-0.060040925,0.15493825,0.1554595,-0.09502885,-0.06217255,-0.4080425,-0.4059295,-0.2305865,-0.0058281175,0.51235975,0.55010575,-1.28603,0.42666325,-0.05997175,-0.64729525,0.3008645,-0.4815685,-0.4384905,0.48625475
-1.046805,1.7051625,0.36044975,0.74809675,0.181194,-1.046805,0.166921,0.1454135,0.3500555,0.36290975,0.1016,0.12864675,-0.17934425,-0.19604225,-0.0324276,0.20024275,0.93364925,0.98702125,-0.90061975,0.8422295,0.346649,-0.26334725,0.7517065,-0.065276975,-0.02761295,0.9139415
