"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.693593,1.076454,0.3346064,0.3479195,-0.02819275,-2.693593,-0.5735754,-0.5115314,-0.7877479,-0.8932177,0.1382087,-0.5988804,-0.5057086,0.3775144,-0.1400825,0.06995968,-0.5718258,-0.9262425,-0.3693734,-1.12598,0.2637243,-0.3969251,-0.6013594,0.1516167,-0.2393994,-0.1641885
-2.273586,1.577438,0.6409898,0.716725,0.8007073,-2.273586,0.02700855,0.08690408,-0.1183462,-0.2355209,0.6900175,0.01173913,0.0901148900000001,0.9116146,0.4151621,0.6060381,0.2624047,-0.0609256999999999,0.5849971,-0.1494814,1.166732,0.4967306,0.2423354,0.9735542,0.5557134,0.629268
-2.5937525,1.1997075,0.3938365,0.4251295,0.20402325,-2.5937525,-0.42216,-0.36382625,-0.6089235,-0.727731,0.2755975,-0.44050625,-0.3479245,0.50226275,-0.0071813375,0.19814075,-0.36704825,-0.7076665,-0.1703765,-0.86028025,0.4570175,-0.20186675,-0.387809,0.32874125,-0.05984545,0.019595
-2.3774725,1.46347,0.55486625,0.6197555,0.66618375,-2.3774725,-0.10718275,-0.052238675,-0.26287625,-0.37932525,0.56126425,-0.12155975,-0.0403114,0.7818265,0.28415225,0.47666425,0.0558677,-0.24745075,0.32075,-0.35347575,0.92587575,0.250624,0.04455745,0.76122375,0.348678,0.43300575
