"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.950785,1.131888,0.2316697,0.4173409,-0.3607995,-1.950785,0.002017205,-0.1914176,-0.9042505,-0.2494224,-0.06905564,-0.4014156,-0.4003952,-0.1971005,-0.1986434,0.1073562,-0.6666519,-0.305483,-0.3314023,-1.056126,-0.2882751,-0.260565,-0.970545,-0.2168305,0.3136978,0.4127323
-1.633766,1.616763,0.5121958,0.7571808,0.5301729,-1.633766,0.4419122,0.2602068,-0.3019712,0.1960997,0.3673404,0.07133867,0.05540254,0.2567237,0.2825186,0.5718898,0.1186319,0.4779063,0.6686086,-0.2503874,0.5011947,0.5727795,-0.1601063,0.5815334,1.182998,1.265472
-1.875015,1.25029,0.28263725,0.4865675,-0.1579595,-1.875015,0.10842825,-0.078241025,-0.746534,-0.14264175,0.035090625,-0.279617,-0.28498925,-0.0823943,-0.07224165,0.21933775,-0.4721815,-0.1199795,-0.1088965,-0.8611645,-0.1005475,-0.077697675,-0.770927,-0.028969075,0.50515875,0.607197
-1.7123825,1.5078725,0.433368,0.66604875,0.33280275,-1.7123825,0.33512025,0.149873,-0.43143275,0.0902406,0.2621905,-0.0340047,-0.050786025,0.1496805,0.1701015,0.461124,-0.06790645,0.28950875,0.4144725,-0.43638175,0.3076135,0.36019825,-0.3429115,0.38644475,0.96269325,1.0468375
