"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.377776,1.021596,0.255419,0.1200788,-0.6112704,-1.377776,-0.283998,0.2877513,-0.1665042,-0.4648564,-0.5643425,0.01350281,-0.4136744,-0.4895794,-0.04676081,0.05726472,-0.08804834,-0.2202823,-0.2053395,-0.1245984,-0.1294149,-0.3007659,-0.08016717,-0.6527505,-0.3764509,-0.2938355
-1.061737,1.338245,0.5235398,0.4821703,0.4537084,-1.061737,0.1404231,0.7034837,0.2533879,-0.03174652,-0.1238746,0.4222544,0.02321241,-0.05361297,0.3729271,0.480919,0.441522,0.2932871,0.2834644,0.4133322,0.4353228,0.1872563,0.4707548,-0.00232286999999998,0.1244366,0.2067304
-1.29693,1.0993525,0.3036935,0.1996315,-0.396934,-1.29693,-0.18178075,0.38111775,-0.06698055,-0.35646425,-0.45481525,0.1071855,-0.3057505,-0.38332525,0.051568625,0.15660175,0.0048521225,-0.09915195,-0.08669775,-0.01430535,-0.01829875,-0.173213,0.0130228,-0.4715805,-0.23506025,-0.160399
-1.13745,1.2628425,0.4428135,0.38473675,0.197034,-1.13745,0.040837675,0.59655125,0.1550325,-0.1282535,-0.22552475,0.32256825,-0.080061725,-0.1574175,0.267522,0.3746295,0.27933225,0.1549255,0.15216825,0.2553965,0.26504425,0.068259825,0.3073195,-0.1163535,0.0154476,0.0854895
