"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-0.8230482,0.3014874,0.316881,0.3705963,-0.04460664,-0.8230482,-0.384913,-0.04434497,-0.4614133,-0.8011263,0.3839201,-0.616772,0.1334155,-0.2368058,0.1319178,-0.1331937,-0.5323304,-0.06014505,-1.395096,-0.6725763,-0.3611521,-0.4978959,-0.100741,-0.4316347,0.173127,0.01727359
-0.4731193,0.7233478,0.5861795,0.6760035,0.6974991,-0.4731193,0.04779814,0.3853067,-0.01639927,-0.353334,0.8162035,-0.1784458,0.5597052,0.1982024,0.5610778,0.2991048,0.09634695,0.5585332,-0.6775622,-0.000926485499999821,0.2841023,0.1475785,0.5201746,0.2008983,0.7917951,0.6416734
-0.73775975,0.396302,0.36373725,0.43156225,0.161286,-0.73775975,-0.28111975,0.058188175,-0.3554475,-0.69130175,0.48034575,-0.51098275,0.2321085,-0.13103175,0.23106725,-0.034014875,-0.375467,0.0852805,-1.21587,-0.51351125,-0.20104425,-0.34081725,0.05061615,-0.27661775,0.31507,0.167721
-0.557582,0.6178825,0.5061615,0.59001,0.565533,-0.557582,-0.0557317,0.281652,-0.125232,-0.4576365,0.71000025,-0.2789365,0.45914225,0.093739875,0.4570075,0.191105,-0.04357,0.410516,-0.83881975,-0.1608665,0.132405,-0.0019330975,0.36956,0.0540274,0.644003,0.4978975
