"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.154104,0.3536821,0.431771,0.3351951,0.03074558,-2.154104,-0.7320006,-0.6164094,-0.6967576,-0.8184403,0.4214488,-0.1635612,0.2547334,-0.7015191,-1.09763,0.3845752,-0.5802111,-0.2934769,-0.5358858,-1.030854,0.3711966,-0.6967504,0.03926796,-0.776641,-0.7306413,-0.3523684
-1.694799,0.7863749,0.7261612,0.6674022,0.783597,-1.694799,-0.1153085,-0.01869157,-0.0972830299999998,-0.1866572,0.9658823,0.4031882,0.8010648,-0.1038019,-0.4363403,0.9293739,0.182322,0.4750928,0.2057336,-0.1793376,1.061375,0.0360995700000001,0.7012217,0.00336830600000007,0.1244351,0.3363715
-2.046845,0.45623375,0.489088,0.40574325,0.25708525,-2.046845,-0.58040075,-0.46885725,-0.54493025,-0.6622185,0.55451175,-0.02853735,0.389739,-0.554238,-0.93151125,0.516133,-0.39114775,-0.1210375,-0.3585875,-0.80713925,0.524554,-0.50423975,0.1993255,-0.57937775,-0.51580525,-0.18438975
-1.8092725,0.67757825,0.64550275,0.57903975,0.658707,-1.8092725,-0.252976,-0.1515875,-0.23184675,-0.3328155,0.83616075,0.27004125,0.66925475,-0.2367595,-0.58566675,0.80038225,-0.00013879925,0.27418625,0.023259675,-0.36014,0.892051,-0.11763325,0.5419805,-0.178716,-0.081842925,0.1802035
