"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.486625,0.9372764,0.3008143,0.09634998,-0.5617895,-2.486625,-0.4733311,0.3726544,-0.4746033,-0.5619594,-0.453083,0.09357099,-0.2205268,-0.1612161,-0.7575584,-0.5651836,-0.1756206,-0.2143681,-0.1727179,-0.2288663,-0.5664257,-0.2859511,-0.2298366,-0.1924055,-0.3761595,-0.365775
-2.110575,1.318046,0.5956259,0.487038,0.6040927,-2.110575,0.0872896000000003,0.8700461,0.07951306,0.00551904000000002,0.1010489,0.5958351,0.2938292,0.3718983,-0.160105,-0.00306684299999995,0.4060447,0.3792587,0.4179646,0.3621703,0.07386351,0.2664253,0.2988166,0.3636415,0.2594055,0.2120647
-2.396295,1.0301475,0.3568205,0.17417025,-0.30591225,-2.396295,-0.3283545,0.485334,-0.3317755,-0.41637475,-0.3103135,0.2115895,-0.093749225,-0.033171375,-0.60036475,-0.429792,-0.047115825,-0.067105825,-0.050186025,-0.089992025,-0.3592535,-0.1333575,-0.093957825,-0.06180295,-0.20087675,-0.19436
-2.2013225,1.2280625,0.511074,0.38089,0.34261225,-2.2013225,-0.03816575,0.74857525,-0.0420555,-0.12407625,-0.0225669,0.47241325,0.17274125,0.2462285,-0.28636575,-0.1282015,0.22746925,0.2144005,0.22703825,0.186689,-0.017668975,0.121428,0.144619,0.19288725,0.0962432,0.071250125
