"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.704982,1.005955,0.3289857,0.3751825,-0.8530153,-1.704982,0.4740781,-0.4444259,-0.4608789,-0.6446409,-0.512053,-0.7778357,0.176187,0.1871938,-0.4041119,-0.363534,-1.246528,-0.07846776,-0.2725005,-0.01010383,-0.4302727,-0.1410499,-0.4999783,-0.7155901,0.2252466,-0.05919944
-1.344326,1.448815,0.5867233,0.6844471,-0.232577,-1.344326,0.9204258,0.0562962,0.04189962,-0.1191553,-0.00720580899999999,-0.233928,0.6360624,0.6496725,0.1147289,0.1341235,-0.5782623,0.6706837,0.4644103,0.7929287,0.3222026,0.6711624,0.1739283,-0.05542038,1.052281,0.6755819
-1.6189325,1.1143175,0.3764055,0.4391305,-0.7661745,-1.6189325,0.5797855,-0.321928,-0.33693825,-0.514983,-0.387822,-0.636822,0.28286175,0.2993385,-0.27640475,-0.24288225,-1.0818125,0.093292675,-0.09588475,0.1654615,-0.244335,0.050021675,-0.340801,-0.5588535,0.40310925,0.105398
-1.43121,1.34675,0.5144675,0.60058275,-0.437358,-1.43121,0.8085265,-0.058479125,-0.07469755,-0.2400055,-0.1265775,-0.35487125,0.5244385,0.53614325,-0.003444325,0.018081825,-0.734311,0.47954325,0.291664,0.578728,0.15576575,0.475064,0.01391865,-0.204906,0.833503,0.48680875
