"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.682373,1.243169,0.2982397,0.365002,-0.2479363,-1.682373,-0.2936552,0.3365934,-0.3989666,0.2863626,-0.3588378,-0.4219353,-0.03015197,-0.6387501,-0.162602,-0.6684387,-0.4763754,0.1537557,0.02797756,-0.2362889,-0.422951,-0.1669073,-0.1484716,0.07035257,-0.4130353,-1.321099
-1.322069,1.705694,0.5769849,0.7045189,0.6039904,-1.322069,0.1714345,0.7931466,0.09766078,0.7400241,0.1100673,0.07071904,0.4288583,-0.1028841,0.3074294,-0.1752068,0.2402162,0.8837284,0.8204789,0.4644515,0.305562,0.5912216,0.5805062,0.9662477,0.2960567,-0.5107192
-1.5940225,1.36165,0.34922425,0.4361065,-0.042738375,-1.5940225,-0.184069,0.441446,-0.2754625,0.39200675,-0.248254,-0.2970655,0.08003925,-0.50030325,-0.049045625,-0.54531275,-0.30267,0.32362525,0.2007465,-0.07084285,-0.256608,-0.004700365,0.017853575,0.25876675,-0.23980125,-1.120575
-1.40939,1.6030075,0.49565,0.6174385,0.427494,-1.40939,0.058536425,0.681509,-0.014755275,0.62819825,8.547955e-05,-0.04212375,0.31678925,-0.22078175,0.19462475,-0.28788875,0.066887275,0.70054575,0.62077725,0.29658525,0.12176,0.39477825,0.3980405,0.72815925,0.12787375,-0.693513
