"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.530019,0.9391492,0.6210137,0.4461771,-0.2595219,-1.530019,-0.8830473,-0.9480399,-1.127197,-1.699381,0.2117018,-0.05679458,1.434685,0.1892061,-0.5696468,0.1625971,-1.32457,-1.029186,-0.09292785,0.1721249,-0.5205071,0.09560356,0.03238446,-0.5710633,-0.5062283,0.2490883
-0.9436897,1.424409,0.9174097,0.7675831,0.4042863,-0.9436897,-0.2088354,-0.2626949,-0.4063156,-0.9021967,0.8590351,0.5973578,2.081344,0.8396674,0.1002259,0.8231548,-0.5172146,-0.2279425,0.7839205,1.261528,0.1679491,0.8238974,0.7518347,0.1321106,0.2429952,0.9777692
-1.393065,1.0575475,0.68091625,0.51365125,-0.10486425,-1.393065,-0.7215875,-0.78632,-0.949551,-1.50441,0.3666995,0.0932198,1.586475,0.3382365,-0.40678,0.32133825,-1.13025,-0.83227125,0.10856,0.41148375,-0.3482595,0.255839,0.194738,-0.3967715,-0.32893375,0.414316
-1.0802275,1.307955,0.84063525,0.681447,0.25622925,-1.0802275,-0.362483,-0.425162,-0.57574975,-1.0887525,0.707894,0.445375,1.92905,0.6824,-0.05726125,0.66107725,-0.7040615,-0.406265,0.55747225,0.98629625,0.0055547975,0.64146525,0.5761215,-0.03342185,0.0646525,0.7952365
