"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.889842,0.7690459,0.6719166,0.1567261,-0.1043663,-1.889842,-0.5132602,0.5056546,1.514371,-1.627938,-0.2167817,0.02803324,-0.5071359,-1.639918,-1.569149,0.1175664,-0.3882722,0.0189076,0.004848245,-0.2974382,-0.2315775,-0.4156989,-0.2330497,-0.7967003,-0.4958672,-0.2258006
-1.265844,1.123496,0.9674658,0.506404,0.7239356,-1.265844,0.1889833,1.184506,2.18089,-0.8312463,0.4699678,0.7076324,0.1897317,-0.8427341,-0.7688672,0.8065326,0.1558515,0.5716445,0.5874192,0.4613171,0.2753626,0.1299639,0.3020456,-0.02529573,0.1669786,0.2905807
-1.73695,0.85817275,0.73442325,0.22842,0.110643,-1.73695,-0.34850175,0.659283,1.67096,-1.4334825,-0.058463325,0.18714325,-0.34700775,-1.4455125,-1.36893,0.2787205,-0.23462525,0.133212,0.13013175,-0.14738475,-0.10085275,-0.26010775,-0.1051855,-0.5775225,-0.32413025,-0.0907818
-1.4145,1.04385,0.89032225,0.41329875,0.572976,-1.4145,0.014606875,1.01423,2.022705,-1.01877,0.30705725,0.54330825,0.0277495,-1.02735,-0.9540615,0.63902375,0.035311225,0.4287295,0.439683,0.22397925,0.141944,0.01824465,0.15524925,-0.17011075,0.007217585,0.162725
