"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.077242,1.043704,0.4558832,0.3300712,-0.4348672,-2.077242,0.7045401,-1.333011,-0.8827247,0.1128306,-0.1786486,-0.2683828,-0.8726012,-0.5867376,0.03274845,-0.2099763,-0.4607331,-0.265852,-0.6587527,-0.2085241,-0.4341253,-0.3942054,-0.1882136,-0.9964007,-0.3143353,0.3831614
-1.600917,1.490829,0.7500859,0.6867013,0.3893646,-1.600917,1.25114,-0.6072726,-0.2364757,0.6792913,0.4038708,0.3213232,-0.2139135,0.0296787100000002,0.6033619,0.4151082,0.2122352,0.7375098,0.1654785,0.50877,0.2918696,0.3429721,0.6823974,-0.1736923,0.3946705,1.313873
-1.9657175,1.149795,0.51407925,0.4095495,-0.255549,-1.9657175,0.83168175,-1.1487425,-0.717019,0.249264,-0.035653975,-0.13075375,-0.70552075,-0.43326175,0.16443625,-0.054771725,-0.29541975,-0.053637375,-0.4588755,-0.0367757,-0.2700245,-0.21821925,-0.00361844,-0.79452725,-0.1435735,0.58891025
-1.71674,1.3855575,0.67182625,0.5970605,0.18753525,-1.71674,1.1187425,-0.7693095,-0.3829505,0.54502375,0.2705075,0.17957875,-0.364077,-0.113584,0.469429,0.2702525,0.05568405,0.47078625,-0.02284535,0.3344065,0.1167925,0.1699325,0.44914325,-0.36507175,0.22013125,1.0679125
