"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.634872,1.169897,0.2653069,0.1293891,-0.7197371,-1.634872,-0.2831405,0.2276661,-0.2091751,-0.08917762,-0.5298524,-0.6893235,-0.5616042,-0.3534379,-0.01884091,0.09043665,-0.1963632,-0.3759665,-0.1394185,-0.02824645,-0.2501957,-0.2724089,-0.07443327,-0.309074,-0.5188391,-0.3551144
-1.303402,1.498591,0.5394396,0.4819978,0.3058332,-1.303402,0.1624931,0.6637302,0.2431079,0.3634739,-0.06389597,-0.1992481,-0.0801247,0.1015112,0.4267417,0.5252282,0.3261559,0.1442477,0.4097984,0.5924371,0.3091655,0.3211025,0.5305933,0.2257442,0.0324788900000001,0.1572759
-1.5519825,1.251965,0.3142765,0.206894,-0.53608125,-1.5519825,-0.1732265,0.3261305,-0.10106625,0.020952425,-0.41173525,-0.56504725,-0.4400485,-0.24167375,0.08928745,0.19098325,-0.072276075,-0.24289875,-0.02582505,0.07006925,-0.10996025,-0.12241575,0.029503325,-0.16234225,-0.35716925,-0.21640125
-1.3856375,1.420525,0.45935575,0.38819175,0.0264554,-1.3856375,0.055033925,0.55233525,0.13664375,0.25170725,-0.16925025,-0.3082365,-0.1884525,-0.005417745,0.31685525,0.41707075,0.1797755,0.021626075,0.2494425,0.4103885,0.15906025,0.16398175,0.351373,0.09453445,-0.061118975,0.036293525
