"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-0.930587,0.3823035,0.2673928,0.2636828,0.1746968,-0.930587,-0.5687007,0.02155447,-0.3020623,-0.1273952,-0.6934091,-0.2913568,-0.04752822,-0.1914717,0.41582,-0.2308635,-0.922508,-0.3091841,-0.3477245,-0.1734306,-0.4953313,-0.368524,-0.05135344,-0.3326109,0.3091686,-0.4220003
-0.6142055,0.7364718,0.5123939,0.5616733,0.8804124,-0.6142055,-0.1545199,0.4215112,0.09365764,0.2649197,-0.2751207,0.1021143,0.3465351,0.2041793,0.8196369,0.1687271,-0.284006,0.244092,0.1918572,0.3589637,0.0921516,0.1766692,0.477703,0.2128114,0.887451,0.1225426
-0.84954125,0.4622515,0.30984275,0.32269425,0.4124515,-0.84954125,-0.46841525,0.1133395,-0.209658,-0.038280275,-0.58729725,-0.19988475,0.044856,-0.098122925,0.50666475,-0.135511,-0.751891,-0.16649775,-0.209381,-0.044816025,-0.356863,-0.23126775,0.06696055,-0.1940805,0.43862,-0.2798595
-0.688425,0.6488215,0.43593675,0.47674525,0.7881935,-0.688425,-0.253521,0.32159675,-0.0046697,0.1665655,-0.3677485,0.00615222,0.247104,0.10598725,0.717455,0.0689905,-0.41799825,0.12041475,0.065873225,0.22676875,-0.0494978,0.048345525,0.34238775,0.084060875,0.7402,0.0017997
