"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.313441,0.8863223,0.2238247,0.4108349,-0.4889647,-2.313441,-0.06053031,-0.3705578,0.2025196,-0.3940515,-0.5183828,-0.125909,-0.3386164,-0.2177499,-0.7370273,-0.2498561,-0.9746948,-0.2030772,-0.1969245,-1.407193,0.111224,-0.04849282,-0.2934014,0.05435013,-0.3888267,-0.6269052
-1.995659,1.374812,0.5147131,0.7608478,0.3801943,-1.995659,0.4009491,0.1267255,0.6760651,0.1017976,0.0173334600000001,0.3468683,0.1421041,0.2629417,-0.1651779,0.2161687,-0.1343697,0.6821613,0.6081981,-0.4898773,1.083183,0.8094409,0.5658327,0.9279035,0.5929877,0.2143102
-2.239515,1.0028025,0.27826875,0.486831,-0.30964275,-2.239515,0.05027835,-0.2369815,0.30753,-0.26687125,-0.37793525,-0.0114762,-0.21918275,-0.099306025,-0.5854845,-0.13670475,-0.771339,-0.0030231075,-0.0099728375,-1.178905,0.321951,0.1483635,-0.092384075,0.245927,-0.162043,-0.41855575
-2.07645,1.259485,0.42943325,0.67105625,0.17035725,-2.07645,0.290599,0.0172738,0.557391,-0.0133547,-0.09844985,0.23409325,0.032035025,0.15619,-0.287006,0.108002,-0.32869575,0.46046225,0.405177,-0.691408,0.83529925,0.58558525,0.347399,0.697065,0.35722225,0.016778225
