"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.541437,0.8484488,0.3101248,0.4805913,-0.1576973,-1.541437,-0.9360882,-0.07662886,-0.2445203,-0.6349537,-0.05719113,-0.3260384,-0.3840335,0.3753354,0.01019244,-0.04525324,-1.599891,-0.71944,-0.2024363,-0.1040624,-0.3066555,0.4204683,-0.05271723,0.3596653,-0.9721077,-0.4173803
-1.177939,1.343585,0.5831608,0.8036629,0.577323,-1.177939,-0.4183071,0.3816375,0.2223075,-0.1395614,0.4009123,0.1649164,0.0890294200000001,0.8300201,0.4672797,0.4061239,-0.7452795,0.0192780000000001,0.5461984,0.7213513,0.4368139,1.253874,0.7442012,1.102991,-0.2298138,0.327258
-1.44998,0.96466625,0.36099625,0.54888975,0.0243526,-1.44998,-0.80367825,0.03211585,-0.1305785,-0.51199225,0.05009035,-0.20431625,-0.271178,0.4791865,0.11520575,0.060469675,-1.391705,-0.53792025,-0.02492225,0.0786583,-0.12804125,0.60787525,0.13166875,0.52862925,-0.79020625,-0.2368885
-1.2663175,1.22368,0.50447875,0.7152765,0.42714825,-1.2663175,-0.537223,0.2697175,0.11120175,-0.2523095,0.28433875,0.0494895,-0.0226863,0.7137865,0.35107875,0.29895775,-0.941501,-0.1571385,0.372654,0.5175735,0.25916075,1.044295,0.54847075,0.92001325,-0.4024655,0.1489605
