"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.069491,0.993642,0.3293882,0.4372067,0.0579103,-2.069491,-0.6599286,0.1510265,-0.7839785,-0.2817104,0.3370024,-0.2702454,-0.1164221,-0.6109153,0.2547725,-0.6441253,-1.058744,-0.1330743,-0.4687742,-0.9991613,0.5417311,-0.506949,-0.3330269,-0.6044367,0.5667006,-0.5558429
-1.69479,1.48819,0.6110917,0.7653288,0.7950407,-1.69479,-0.132304,0.6351036,-0.2127574,0.2207939,0.834861,0.2247879,0.3699269,-0.08187539,0.7542191,-0.1118854,-0.2181103,0.6186453,0.4397425,-0.1899832,1.341514,0.2607342,0.4260241,0.2105301,1.377722,0.2625498
-1.9802625,1.1161625,0.382763,0.50821375,0.27447825,-1.9802625,-0.5294045,0.26432975,-0.63536975,-0.16404875,0.4571665,-0.14985075,0.0015185175,-0.4797525,0.3714885,-0.5087445,-0.8528495,0.050006175,-0.2658585,-0.80011375,0.71209675,-0.32110125,-0.1499595,-0.41417975,0.74084675,-0.3664395
-1.7852275,1.3700475,0.530123,0.6790775,0.67414725,-1.7852275,-0.2557755,0.513063,-0.33722425,0.098578075,0.7111815,0.10630025,0.25694175,-0.2061305,0.63853025,-0.23053,-0.41193075,0.4347015,0.20851,-0.371491,1.1380875,0.0700284,0.24669625,0.0060135175,1.16933,0.0590096
