"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-0.4618591,0.9333382,0.1860119,0.5654706,-0.1801597,-0.4618591,-0.3489434,-0.1339358,-0.2180461,0.0559883,0.07279093,0.1204489,-0.4084737,-0.2600409,-0.4037062,0.03244317,-1.073096,-0.5654231,-1.423176,0.2912648,-0.02217359,0.7364933,-0.6184032,-0.4602125,0.8809624,-0.6273174
-0.2031908,1.468311,0.4330992,0.8776321,0.5358231,-0.2031908,-0.00787909599999999,0.2096987,0.1243211,0.426152,0.4338342,0.5054519,-0.05728573,0.08881155,-0.00703215699999997,0.3868751,-0.3314026,0.1602378,-0.7066767,1.039955,0.7202057,1.507453,0.1133936,0.2631765,1.673097,0.0920308000000001
-0.392144,1.064665,0.226858,0.63040125,-0.002684415,-0.392144,-0.266732,-0.0568314,-0.13910825,0.133888,0.15017275,0.20700575,-0.32063075,-0.17901875,-0.30426175,0.1099775,-0.898014,-0.3909565,-1.25737,0.45917725,0.149871,0.91396125,-0.45074075,-0.291166,1.0546,-0.45356975
-0.261797,1.339705,0.35340775,0.7963215,0.390576,-0.261797,-0.091354075,0.12193425,0.0362299,0.32572775,0.3370445,0.40331,-0.13779125,-0.00117764,-0.09670955,0.2947935,-0.508294,-0.0119039,-0.876542,0.853636,0.54499775,1.316395,-0.0600135,0.08975325,1.4766425,-0.08259275
