"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.71292,0.667609,0.09742241,0.3047793,-0.3295607,-1.71292,-0.3569035,-0.06204893,-0.04432111,-0.08546423,-0.1916512,0.02485149,-0.2229891,-0.1902667,-0.2288878,-0.3455541,-0.3668344,-0.323648,-0.1576772,-0.3763844,-0.6119544,0.1758837,-0.9698996,-0.6155734,0.09632198,-0.4852907
-1.50839,1.082842,0.3422203,0.6448852,0.6690291,-1.50839,0.00269521500000002,0.2543152,0.2787608,0.2346844,0.1230173,0.3897655,0.1160952,0.1260675,0.1053363,0.00325401800000002,0.3399468,0.3294497,0.5307188,0.2797464,0.06898459,0.8856564,-0.2337945,0.0734757800000002,0.8337055,0.2131145
-1.66058,0.764877,0.143542,0.37442375,-0.090955325,-1.66058,-0.259017,0.003732075,0.0203697,-0.013795325,-0.10978225,0.1038685,-0.137615,-0.10970675,-0.132744,-0.24865575,-0.19687175,-0.16286225,0.00374945,-0.21019325,-0.440442,0.33375775,-0.77904875,-0.438371,0.253759,-0.31396775
-1.5574375,0.98332275,0.26780575,0.55317875,0.4694275,-1.5574375,-0.0638609,0.16506325,0.18938025,0.14546,0.047416675,0.29384725,0.033264725,0.045423875,0.0299814,-0.060307375,0.16813025,0.17585725,0.361806,0.132004,-0.080430925,0.7083015,-0.39568875,-0.083383875,0.63995425,0.049958675
