"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.012998,0.6808758,0.2194723,0.2251798,-0.4695617,-2.012998,0.01651777,-0.1308652,0.06087819,0.04702072,-0.2435011,-0.3727097,-0.2278896,-0.5052482,-0.3698889,-0.6999884,-0.5803773,-0.4252188,-0.2739885,-0.0535635,-0.04913265,-0.2071502,-0.6375892,-0.8450477,-0.1167465,-0.3881768
-1.709546,1.068984,0.4951709,0.5892135,0.5609319,-1.709546,0.4514503,0.3027156,0.4905102,0.4748964,0.2036063,0.07756444,0.2102431,-0.0294379399999999,0.0851954,-0.1848861,0.09636476,0.2198322,0.3731965,0.6038039,0.6521608,0.4678014,0.05109684,-0.05009486,0.5554153,0.3524538
-1.94005,0.771066,0.268587,0.3086565,-0.23950875,-1.94005,0.11734975,-0.0267178,0.1552205,0.14699675,-0.13101525,-0.2609345,-0.12160425,-0.38340325,-0.2537525,-0.56468,-0.4029155,-0.25168075,-0.1152235,0.082198375,0.091846925,-0.0565877,-0.4538885,-0.63502775,0.01940325,-0.21778825
-1.7868775,0.9720485,0.41369125,0.495416,0.33033825,-1.7868775,0.3451035,0.19528225,0.38157125,0.37122175,0.097548475,-0.02631835,0.1064275,-0.137524,-0.01778115,-0.297443,-0.041794125,0.0686883,0.20952275,0.43380025,0.46098425,0.2893135,-0.08383955,-0.22052975,0.3752525,0.16824
