"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.973281,0.5388169,0.6569112,0.4510045,-0.3190113,-1.973281,0.770955,-1.98841,-0.190536,-0.5772765,0.387532,-0.7257883,-1.388505,-1.114645,-0.4289237,1.178799,-0.2742945,-0.5981219,-1.84328,-0.31005,0.2052617,-0.4536468,-0.5284686,-0.3046694,0.00100826700000005,-0.4660854
-1.353732,1.044237,0.9541766,0.769231,0.3266224,-1.353732,1.451609,-1.11059,0.5075145,0.1440072,1.065133,0.00461275000000002,-0.5933739,-0.3509766,0.2856948,1.841474,0.4342161,0.5168132,-1.00836,0.4976858,0.9364238,0.381482,0.4231181,0.6058112,0.7992558,0.2321603
-1.8282825,0.6569825,0.71958875,0.517356,-0.1734085,-1.8282825,0.94387625,-1.7674725,-0.017499775,-0.398373,0.553653,-0.550351,-1.1966625,-0.92652625,-0.251507,1.3332225,-0.107907,-0.32615225,-1.6363425,-0.11405925,0.3776235,-0.255618,-0.3034755,-0.09566405,0.18794425,-0.29225225
-1.5030925,0.91847,0.874354,0.68418725,0.176949,-1.5030925,1.292765,-1.3078125,0.341554,-0.017842025,0.90887275,-0.1669805,-0.77461425,-0.529673,0.11632925,1.687625,0.2661765,0.26101875,-1.19442,0.3046315,0.7586495,0.183608,0.19595725,0.3750935,0.6043775,0.06979135
