"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.502732,1.155618,0.1809732,0.6346339,-0.6223524,-1.502732,-0.3445601,-0.2457528,0.1991482,-0.3468034,-0.3679855,-0.3971362,-0.4506811,0.03349209,-0.2742358,-0.03511265,-0.8749888,-0.2363608,-1.542811,-0.5863801,-0.6401619,1.24865,0.4917552,-0.06551175,0.6462522,-1.085672
-1.24485,1.741871,0.4197953,0.9496649,0.0606509300000002,-1.24485,0.04772455,0.147494,0.5762076,0.04425249,0.02588381,0.07361671,-0.0141198799999999,0.4289012,0.1566383,0.3354534,-0.0265210199999999,0.6338154,-0.7634908,0.2791652,0.2265678,2.29486,1.460213,0.8015176,1.588364,-0.2658516
-1.43848,1.298265,0.22236025,0.70218625,-0.49293875,-1.43848,-0.242893,-0.15082425,0.2820785,-0.24698375,-0.26839075,-0.27345525,-0.34156475,0.1195295,-0.16800575,0.0499589,-0.672067,-0.03367055,-1.3631175,-0.3924345,-0.4379035,1.4800325,0.7071685,0.14200175,0.861717,-0.88774325
-1.307405,1.6016325,0.345704,0.869058,-0.1193175,-1.307405,-0.042194825,0.053861225,0.48022475,-0.0413441,-0.0627702,-0.029406575,-0.10980325,0.32762875,0.0540996,0.242539,-0.22717325,0.426401,-0.94669025,0.0724567,0.0175364,2.02688,1.216965,0.5941075,1.35315,-0.464302
