"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.277416,0.8194091,0.3102468,0.4972913,0.3313406,-1.277416,-0.2068419,0.07157667,-1.051451,0.5283352,-0.2770941,-0.4387303,-0.2252499,-0.03337084,-0.2963703,0.01198849,0.1447007,0.07129949,-1.743434,0.7036203,-0.713946,-0.8643332,0.1712643,-0.3963695,-0.480969,-0.2130952
-0.9522302,1.303699,0.5529403,0.8002863,0.8747298,-0.9522302,0.2227829,0.4868775,-0.5725856,0.9581978,0.1394024,-0.02094808,0.2036236,0.3857704,0.1235451,0.4339259,0.8733472,0.771785,-0.9088595,1.431289,-0.00356396499999992,-0.1395845,0.917855,0.2958857,0.2043966,0.4565293
-1.1985125,0.934014,0.3543945,0.560912,0.511759,-1.1985125,-0.10371875,0.16859875,-0.92500275,0.62467075,-0.1803445,-0.33988475,-0.12066425,0.064286075,-0.19460025,0.1067835,0.30974025,0.2352505,-1.535835,0.87649675,-0.53679,-0.686581,0.33498775,-0.23114025,-0.317696,-0.054575325
-1.0276575,1.1890825,0.4804255,0.72031475,0.79842,-1.0276575,0.12180475,0.383136,-0.6782655,0.850782,0.03683875,-0.12020975,0.10222525,0.284352,0.02503835,0.3244695,0.697074,0.599521,-1.101285,1.25399,-0.1720115,-0.306287,0.728001,0.12985575,0.042034575,0.2946795
