"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.509331,0.3275426,0.5995378,0.4533686,-0.5723731,-1.509331,0.3016487,1.238033,0.3528555,-1.358447,-1.564431,-0.5344759,-0.9698742,0.1086068,-0.06767233,-0.2652667,-1.563611,-0.8445001,-0.1109209,0.08134075,-0.1997637,-0.5531661,-0.6866708,-0.9555379,0.01898963,0.1414264
-0.9626657,0.8045978,0.8888522,0.7625434,0.03272073,-0.9626657,0.9183211,1.8417,0.9648117,-0.6650047,-0.8421606,0.1070151,-0.3166241,0.7240315,0.5504533,0.3720354,-0.8495482,-0.156452,0.5558876,0.9584338,0.7269981,0.1853738,0.1313997,-0.2635673,0.7268115,0.8700031
-1.37495,0.4399125,0.65960075,0.51486625,-0.4522655,-1.37495,0.438368,1.3773125,0.49573425,-1.186935,-1.3895975,-0.38481725,-0.81844475,0.25089125,0.076305175,-0.11609425,-1.3821175,-0.684144,0.046864475,0.28358175,0.012869175,-0.3750495,-0.4860885,-0.78021925,0.184845,0.3116765
-1.0894225,0.6873235,0.812369,0.6766395,-0.1242075,-1.0894225,0.76438775,1.6935425,0.81172625,-0.8298585,-1.010495,-0.044968875,-0.47216775,0.5744085,0.39816725,0.20967675,-1.01124,-0.318835,0.39939375,0.73821475,0.5017585,0.0078427325,-0.0637507,-0.41768275,0.549302,0.69439525
