"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.370763,0.9188588,0.2777339,0.584461,-0.4005707,-1.370763,-0.5855726,0.3600965,-0.3642871,-0.4093741,0.1361938,-0.4013555,-0.2355645,0.06260469,-0.5504844,-0.2124203,-0.3173246,-0.9880827,-1.383925,-0.5351851,0.2214524,0.8185621,-0.4392856,0.3964365,0.2614933,-1.445874
-1.031667,1.473371,0.5471894,0.8927096,0.2910527,-1.031667,-0.1172551,0.7864917,0.07932204,0.04115059,0.5885533,0.09621142,0.2047142,0.5160646,-0.06893082,0.2200583,0.5142958,-0.2453311,-0.5863432,0.2686432,1.021117,1.720072,0.3544928,1.203467,1.151875,-0.6665228
-1.2838175,1.05686,0.32622875,0.64888725,-0.2530075,-1.2838175,-0.46625425,0.457374,-0.2580165,-0.3000485,0.24037975,-0.27303225,-0.13524975,0.16969425,-0.42989825,-0.106189,-0.1312395,-0.81753525,-1.1940825,-0.34486875,0.41042225,1.016675,-0.25306375,0.58808075,0.464904,-1.2636175
-1.1107675,1.345365,0.46860475,0.8144385,0.12768925,-1.1107675,-0.22194675,0.68194,-0.027231525,-0.06361405,0.47316125,-0.0205044,0.098103575,0.4088695,-0.1794055,0.1155165,0.309883,-0.42058875,-0.76629275,0.080838,0.8285715,1.493145,0.16083975,1.0110075,0.931017,-0.8479625
