"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.346231,0.5884011,0.1932093,0.1469827,-0.4847272,-1.346231,-0.2611574,-0.1356085,0.1737521,0.1136839,-0.1236743,-0.260306,-0.3240026,-0.5508231,-0.2731611,-0.2160311,-0.1291515,-0.1216422,-0.2961829,-0.03865552,-0.5076973,-0.1925969,-0.1622043,-0.3601431,-0.3869892,-0.6111047
-1.081355,0.9099679,0.4470702,0.4883922,0.6027683,-1.081355,0.1093743,0.240635,0.5489795,0.4892733,0.2494757,0.1143901,0.05682239,-0.1514646,0.1002567,0.1579128,0.3938222,0.3962182,0.2206681,0.5004701,0.0437022300000001,0.3150763,0.3746689,0.1952008,0.1343936,-0.00766887499999998
-1.27797,0.66351275,0.236834,0.21808975,-0.2377655,-1.27797,-0.175483,-0.04353435,0.25799575,0.1980895,-0.036721125,-0.1679055,-0.2275145,-0.45096275,-0.182806,-0.12263525,-0.01616615,-0.01394185,-0.16399,0.062627425,-0.35617925,-0.071976175,-0.038627125,-0.21403825,-0.246895,-0.44354125
-1.14594,0.82686075,0.3674125,0.39549875,0.3760015,-1.14594,0.022818425,0.1470015,0.4537585,0.39259475,0.15791575,0.024794275,-0.0301959,-0.23726975,0.010764125,0.07074855,0.25097025,0.255558,0.09599575,0.3539645,-0.0549297,0.17403175,0.22640575,0.06862645,0.018912775,-0.11241775
