"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.450969,-0.1352897,0.3061388,0.5658605,-0.3795573,-2.450969,-0.3863384,-0.2694377,-0.7464245,-0.02733759,-0.1336155,-0.02702223,0.2176198,-0.9694238,-0.2677312,-0.6648969,0.5076109,-0.4593083,-0.5738255,-1.975617,-1.367393,-0.196941,-0.2077573,-0.6787393,-1.114824,-1.502112
-2.052565,0.4577384,0.6088878,0.9042929,0.3674033,-2.052565,0.1709052,0.2740782,-0.1441227,0.5289951,0.4161539,0.4951665,0.728642,-0.3081938,0.2897084,-0.04206441,1.482,0.496677,0.4591042,-0.9423428,-0.3894343,0.7031083,0.6718521,0.4323781,-0.1553695,-0.3906347
-2.3586275,-0.0027884575,0.36176025,0.640094,-0.2122305,-2.3586275,-0.2496515,-0.138385,-0.58768775,0.108702,-0.00066459125,0.10183,0.333144,-0.79380525,-0.131157,-0.506375,0.72673925,-0.225482,-0.32739375,-1.721285,-1.12321,0.021037575,-0.00065931,-0.40172575,-0.877475,-1.212775
-2.1557875,0.30898475,0.52190175,0.81593575,0.19453525,-2.1557875,0.0434192,0.14383225,-0.27089675,0.398028,0.28315,0.37138125,0.60255975,-0.44931425,0.15783725,-0.17544625,1.23891,0.2742795,0.21839925,-1.1749475,-0.612636,0.494233,0.468523,0.18289375,-0.3724275,-0.6390595
