"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.011985,1.114109,0.5146446,0.3180289,-0.2890258,-2.011985,-0.6945028,-0.662175,-1.731659,0.2723457,-0.6530664,-0.3246052,0.5286488,0.06225914,0.4351693,-0.7788117,-0.3755238,-0.8166688,-0.7659428,0.1404169,-0.2324759,0.2723908,-0.2808365,-0.1868778,-0.6491354,-0.4756917
-1.504638,1.558681,0.8174456,0.6781738,0.5184201,-1.504638,-0.0512254299999999,-0.02401555,-0.943788,0.8687831,-0.00408304599999998,0.3264103,1.108774,0.6579008,1.012124,-0.1209428,0.4051897,-0.0401741799999999,0.2446657,0.8828874,0.5505483,1.176468,0.3897468,0.5062576,0.02921553,0.3136714
-1.8916525,1.2273925,0.57528075,0.3939445,-0.095018875,-1.8916525,-0.5360275,-0.50705125,-1.52608,0.41201975,-0.4901565,-0.16810325,0.6652115,0.210241,0.57172575,-0.620091,-0.19608925,-0.6259535,-0.516097,0.30317625,-0.060256925,0.46090775,-0.12536825,-0.034086225,-0.48769,-0.297996
-1.62808,1.455815,0.7321505,0.58342,0.34490125,-1.62808,-0.1993855,-0.17150625,-1.113615,0.72620475,-0.15549,0.16948075,0.975057,0.5154245,0.872575,-0.2785595,0.2074455,-0.21469925,0.0027648575,0.69430525,0.3426905,0.93062475,0.22554325,0.33291025,-0.12935775,0.117706
