"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-0.9990294,0.87041,0.3024024,0.3966952,-0.6889012,-0.9990294,-0.1386475,-0.4438862,-0.2162049,-0.4232467,-0.6691443,0.2363106,-0.4328126,-0.4907336,0.3962813,0.1408882,-0.1628179,-0.4956394,-0.6220852,0.3061159,-0.6379223,-0.355349,0.160888,0.2061326,-1.130966,-0.5708775
-0.659154,1.304642,0.5710838,0.7073842,0.0236007900000001,-0.659154,0.2949729,-0.00516269599999999,0.2113942,0.02878664,-0.2141185,0.6606347,0.0190149800000001,-0.03684569,0.8166841,0.5658712,0.495226,0.1760674,0.03424363,1.025934,0.0712590500000001,0.2772103,0.8594746,0.9266922,-0.4994534,0.05995455
-0.913761,0.97506975,0.35089,0.4580975,-0.564187,-0.913761,-0.035173275,-0.33748625,-0.1162655,-0.31618625,-0.558678,0.33356225,-0.32705325,-0.37994325,0.49314,0.23667125,-0.010080725,-0.3347745,-0.460698,0.46720525,-0.46434175,-0.20625075,0.31865125,0.36753675,-0.9816605,-0.42365325
-0.7388915,1.199,0.489997,0.62353775,-0.1793185,-0.7388915,0.18889125,-0.10830025,0.10448625,-0.080998525,-0.321429,0.5562585,-0.08933295,-0.14454025,0.7113595,0.45727275,0.33958675,0.01446125,-0.1155715,0.85199625,-0.09177675,0.12030625,0.68476775,0.750038,-0.647688,-0.091609175
