"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.685311,0.3661312,0.1524382,0.4223014,-0.8418738,-2.685311,-0.1868479,-0.3214082,-0.0191366,-0.1140706,-0.3381954,0.09291421,-0.5408458,-0.2303638,-0.2309892,-0.545589,-0.7939358,-0.7983945,-1.137002,-0.2017002,-0.0435316,-1.349675,-0.04538175,-0.4807722,-0.4760216,0.1430176
-2.405,0.8839074,0.4273066,0.7693511,-0.04701494,-2.405,0.2495751,0.1441525,0.4180666,0.3291996,0.1210735,0.5573907,-0.0165872299999999,0.2069457,0.1980714,-0.01800865,0.1227853,0.1515231,-0.2356346,0.6987601,0.9277605,-0.4355169,0.9556628,0.4238803,0.4295341,1.185801
-2.6166225,0.48323,0.204738,0.49924075,-0.72598475,-2.6166225,-0.07459195,-0.1904175,0.076239175,-0.017140875,-0.22175775,0.194984,-0.390799,-0.12131125,-0.12284875,-0.395924,-0.571799,-0.56570725,-0.91542,0.0044996425,0.1743205,-1.1185625,0.182101,-0.25865325,-0.25920875,0.369548
-2.4748,0.75774575,0.3439495,0.68195675,-0.29690625,-2.4748,0.143979,0.04514105,0.310034,0.21081125,0.019171375,0.4396075,-0.11913625,0.098403925,0.096435725,-0.119221,-0.0926866,-0.059642125,-0.43951125,0.4706465,0.67843475,-0.63621625,0.70275875,0.21673425,0.21388,0.9095615
