"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.012171,0.7532031,0.3768727,0.3073915,0.09343258,-2.012171,0.5398946,-0.3521761,-0.7407493,0.3168357,-0.1909225,-0.5626985,-0.7813703,-0.1775738,-0.1166781,-0.924541,0.1445272,-0.5161779,-0.6987713,0.4080816,-0.5326568,-0.5360223,-0.4684012,-0.3383654,-0.3909354,-0.7103977
-1.60317,1.1698,0.6623774,0.6285071,0.8379764,-1.60317,1.033659,0.1720751,-0.1805984,0.820847,0.3301854,-0.0186231599999999,-0.2075288,0.3380619,0.3925987,-0.33669,0.8099311,0.1506324,0.01702978,1.138635,0.1257648,0.1459036,0.2595997,0.2956917,0.2673409,0.0521943800000001
-1.9124475,0.85276775,0.430022,0.37098175,0.3298525,-1.9124475,0.65413525,-0.225757,-0.604389,0.43282775,-0.06269695,-0.42797475,-0.64089525,-0.05282885,0.00513532,-0.779628,0.3028765,-0.34460625,-0.51731475,0.5658785,-0.35941975,-0.362416,-0.29735725,-0.1792725,-0.2213295,-0.527184
-1.7054525,1.072295,0.57978325,0.5409785,0.7264695,-1.7054525,0.9138065,0.051851175,-0.3109155,0.699766,0.2029365,-0.14256275,-0.33506,0.21347425,0.26970575,-0.468173,0.64576225,-1.16152e-05,-0.1446145,0.95445,-0.01784775,-0.011887075,0.075631375,0.1447465,0.12190275,-0.1379845
