"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.953173,0.4687875,0.3666369,0.3233237,-0.1326298,-1.953173,-0.2068905,0.217791,0.04066389,-1.249318,-0.6834598,0.1714421,-0.2430731,-0.3836805,-0.0540352,-0.6490943,-0.02668795,-0.4397565,-0.1002565,-0.852077,-0.5927979,0.320349,-0.6390629,-0.3213178,-0.7691634,-0.7874886
-1.548666,0.8978241,0.6569647,0.6623695,0.6860996,-1.548666,0.3020577,0.722469,0.5383448,-0.6144732,-0.1316919,0.6770761,0.2801372,0.1413172,0.4623401,-0.0995991,0.6917814,0.2396115,0.5778073,0.0562965,0.158487,1.045036,0.0635497,0.3862589,-0.03329837,-0.0184763799999998
-1.8546375,0.56994975,0.4227845,0.392833,0.084331525,-1.8546375,-0.083054825,0.338274,0.1581195,-1.084925,-0.545783,0.295564,-0.11783775,-0.252241,0.06928885,-0.518251,0.1420575,-0.270492,0.0559249,-0.6228475,-0.40646,0.48039925,-0.45817225,-0.1525735,-0.587948,-0.5828725
-1.647365,0.78844975,0.57551175,0.57007125,0.5366775,-1.647365,0.18337875,0.5988055,0.4185145,-0.75458325,-0.25916,0.55953725,0.15494525,0.0192416,0.3361,-0.22719575,0.5119945,0.0844991,0.40621225,-0.15434325,-0.011777,0.8640685,-0.090931025,0.21121075,-0.20200975,-0.182682
