"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-1.550145,1.056438,0.3570764,0.4528785,-0.6223748,-1.550145,0.1390479,-0.7296436,-0.1666641,0.7044602,-0.6300324,-0.3678693,-0.3178387,-0.4929738,-0.5771882,-0.2590718,-1.517812,0.2652584,0.4466382,-0.5965341,-0.2633415,-0.336731,-0.1743355,-0.5285857,-0.3859957,-0.1611809
-1.151951,1.541132,0.6362076,0.7706731,0.07265943,-1.151951,0.616719,-0.1699795,0.3528917,1.179002,-0.09486348,0.1402047,0.1913775,0.02346551,-0.05341347,0.2449655,-0.7932299,1.152894,1.279586,0.09391744,0.5383024,0.4378023,0.5985994,0.2514065,0.4046993,0.6062542
-1.4538225,1.1782875,0.4096355,0.518631,-0.4927165,-1.4538225,0.2576295,-0.598527,-0.0392741,0.81591575,-0.49480925,-0.24301575,-0.20073175,-0.3686065,-0.44573725,-0.13708,-1.3424925,0.46547425,0.63021875,-0.43421625,-0.07765365,-0.15724075,0.0035689925,-0.340834,-0.2015945,0.023735625
-1.249545,1.42972,0.55404425,0.686561,-0.11039375,-1.249545,0.5049255,-0.3023965,0.22933625,1.05918,-0.21619975,0.0194356,0.0658509,-0.092073575,-0.1750445,0.12444725,-0.961239,0.92884475,1.06185,-0.072305,0.34310975,0.24490275,0.4081975,0.0591255,0.21780175,0.42474275
