"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.019486,1.049517,0.5435084,0.2991474,-0.2715982,-2.019486,-1.705346,-0.7181762,-1.36666,-0.4952028,0.8827535,-0.2051774,-0.02108918,-0.2989583,0.2461338,-0.03582125,-0.9515486,-0.7224647,-0.1440724,-0.1816322,-0.1815567,0.1859417,-0.6531492,-0.4464819,0.02866275,-0.4593291
-1.479602,1.488795,0.8480091,0.666358,0.533859,-1.479602,-0.9295592,-0.0514215,-0.6021685,0.1717813,1.491436,0.443606,0.6021282,0.3382809,0.8617633,0.5941931,0.02547327,0.05060703,0.8523343,0.5663991,0.474865,1.013745,0.05111059,0.2529861,0.7547286,0.2236823
-1.89844,1.1556925,0.605269,0.37472275,-0.08379505,-1.89844,-1.502545,-0.5548035,-1.1744875,-0.33295675,1.032725,-0.0514415,0.1254665,-0.15127525,0.39172875,0.114068,-0.6996215,-0.52837175,0.05259645,-0.02509935,-0.025237,0.3595985,-0.4780865,-0.27350975,0.18608825,-0.2895595
-1.6127825,1.38513,0.7640055,0.5675175,0.355412,-1.6127825,-1.1023875,-0.1989045,-0.77027825,0.0136151,1.3459575,0.29108775,0.46042425,0.18645675,0.71382275,0.448401,-0.18903875,-0.11729275,0.5695175,0.3669655,0.31708125,0.7946145,-0.1059775,0.082605825,0.5655685,0.065326725
