"b_Intercept","b_cat","sd_site__Intercept","sd_site__cat","cor_site__Intercept__cat","Intercept","r_site[1,Intercept]","r_site[2,Intercept]","r_site[3,Intercept]","r_site[4,Intercept]","r_site[5,Intercept]","r_site[6,Intercept]","r_site[7,Intercept]","r_site[8,Intercept]","r_site[9,Intercept]","r_site[10,Intercept]","r_site[1,cat]","r_site[2,cat]","r_site[3,cat]","r_site[4,cat]","r_site[5,cat]","r_site[6,cat]","r_site[7,cat]","r_site[8,cat]","r_site[9,cat]","r_site[10,cat]"
-2.044805,1.186536,0.2712374,0.2356048,-0.8010618,-2.044805,-0.1270574,-0.08124043,-0.5078977,-0.3152207,-0.5895571,-0.3720085,0.2756359,-0.3716713,-0.84107,-0.002331962,-0.7354181,-0.1009707,-0.05880848,-0.1532459,-0.12524,-0.4452903,-0.514532,-0.1871514,-0.03872162,-0.6512317
-1.700159,1.592354,0.545488,0.6017928,0.03562465,-1.700159,0.3537183,0.4079548,0.01844876,0.1809201,-0.0576523,0.124504,0.7364157,0.1395606,-0.2558876,0.4737763,-0.01479116,0.6314684,0.7087006,0.5592238,0.6204239,0.2332421,0.1445138,0.5097605,0.8006647,0.02028653
-1.96197,1.2872525,0.323484,0.317676,-0.67701675,-1.96197,-0.01066735,0.0417949,-0.3727955,-0.193484,-0.45228575,-0.24864825,0.38090725,-0.2419595,-0.68771975,0.11180075,-0.55507375,0.042440375,0.0892648,-0.00035183275,0.02904455,-0.2735365,-0.3507425,-0.03327845,0.127823,-0.4720025
-1.787275,1.4961475,0.466058,0.50737325,-0.231517,-1.787275,0.2397825,0.28958375,-0.0950417,0.064490525,-0.17370325,0.0097281175,0.6218865,0.0235312,-0.380839,0.35975825,-0.16154625,0.424135,0.49009775,0.36619625,0.41761525,0.07260395,-0.009587945,0.32137,0.5741705,-0.12111525
